Date,EURO STOXX
8/31/2022,408.5343
9/30/2022,382.3815
10/31/2022,378.5049
11/30/2022,414.2181
12/31/2022,418.2902
1/31/2023,439.8408
2/28/2023,455.801
3/31/2023,448.5206
4/30/2023,460.8661
5/31/2023,456.4325
6/30/2023,455.4566
7/31/2023,460.0983
8/31/2023,453.9374
9/30/2023,447.2963
10/31/2023,430.8078
11/30/2023,447.994
12/31/2023,472.0055
1/31/2024,471.8393
2/29/2024,489.4463
